ResponseId,Career_level,Research_approach,Discipline,Discipline_category,Awareness_Open_Research,Awareness_Preregistration,Awareness_Open_Material,Awareness_Open_Protocols,Awareness_Open_Data,Awareness_FAIR_Data,Awareness_Open_Code/Software,Awareness_Preprints,Awareness_Open_Peer_Review,Awareness_Open_Access,Awareness_Replication_Studies,Awareness_Co-production,Awareness_Recognising_Contributions,Awareness_Citizen_Science,Use_Open_Research,Use_Preregistration,Use_Open_Material,Use_Open_Protocols,Use_Open_Data,Use_FAIR_Data,Use_Open_Code/Software,Use_Preprints,Use_Open_Peer_Review,Use_Open_Access,Use_Replication_Studies,Use_Co-production,Use_Recognising_Contributions,Use_Citizen_Science,Attitudes_Usefulness,Attitudes_Participation,Attitudes_Confidence,Attitudes_Comprehension,Attitudes_Support,Attitudes_Training,Attitudes_Norms,Attitudes_Resources,Attitudes_Assessment,Facilitators_Guidance,Facilitators_Training,Facilitators_Ethical_clarity,Facilitators_Prioritisation,Facilitators_Infrastructure,Facilitators_Time_allocation,Facilitators_Incentives,Facilitators_Recognition,Facilitators_Peer_support,Facilitators_Disciplinary_norms,Facilitators_No_intention,Facilitators_Already_engaged,Facilitators_Something_else,Methods_Archival_/_primary_source,Methods_Case_study_analysis,Methods_Experimental_methods,Methods_Interview_methods,Methods_Meta-analysis_/_research_synthesis,Methods_Observational_methods,Methods_Practise-based_research,Methods_Probabilistic_/_simulation_methods,Methods_Secondary_source_analysis,Methods_Survey_based_methods,Methods_Theoretical_research,Methods_Other
R_84ifebpLVYRY1sl,Senior,Both,Physical sciences,Physical Sciences,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,Not applicable to my research,Not applicable to my research,I use it often,I use it often,Not applicable to my research,I use it often,I use it often,I have used it,I use it often,Not applicable to my research,Not applicable to my research,I have used it,Not applicable to my research,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
R_9dKV0zRsh53KCCk,Mid,Qualitative,Education and teaching,Social Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I have used it,I have used it,I have used it,I have used it,I have used it,I have used it,I have used it,I have used it,I have used it,I have used it,I have NOT used it,I have used it,I have used it,I have used it,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
R_2V4NDw9XNIgHHV7,Senior,Both,Physical sciences,Physical Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I have used it,Not applicable to my research,I use it often,I use it often,I use it often,I have used it,Not applicable to my research,I have used it,I have used it,I use it often,I use it often,I use it often,I use it often,Not applicable to my research,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
R_2HuhUxGCaxceiOA,Junior,Both,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,I have NOT used it,I have used it,I have NOT used it,I have used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have used it,I have NOT used it,I have used it,I have used it,I have NOT used it,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Not applicable,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
R_81AvpuDp7lB0C2H,Mid,Quantitative,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,I have NOT used it,I have used it,I have used it,I have used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have used it,I have used it,I have NOT used it,I have NOT used it,I have used it,I have NOT used it,Neutral,Neutral,Somewhat disagree,Somewhat agree,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Strongly disagree,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
R_27ZNVrOyntGVOV3,Senior,Quantitative,Physical sciences,Physical Sciences,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,I have used it,Not applicable to my research,I have NOT used it,I have NOT used it,I use it often,I have NOT used it,I have used it,I use it often,I have NOT used it,I use it often,I have NOT used it,Not applicable to my research,I have used it,I have used it,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_2r2Knhm9NLyX1oY,Junior,Both,Psychology and neuroscience,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,I have used it,I use it often,I use it often,I use it often,I use it often,I have NOT used it,Not applicable to my research,I have NOT used it,I have used it,I have NOT used it,Not applicable to my research,I use it often,I have NOT used it,I have NOT used it,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Not applicable,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
R_8FaGNK22KqJpcwN,Senior,Both,Social sciences,Social Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,I use it often,I use it often,I use it often,I use it often,I use it often,Not applicable to my research,I use it often,I use it often,I use it often,I have used it,I use it often,I use it often,I have used it,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
R_8IXpZQPYrvsSzvg,Senior,Both,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I have used it,Not applicable to my research,I use it often,I use it often,I use it often,I use it often,I have used it,I have used it,I have NOT used it,I use it often,I have NOT used it,I have NOT used it,I use it often,Not applicable to my research,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Neutral,Neutral,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
R_2pyL4l6p4GV7cnT,Junior,Qualitative,Psychology and neuroscience,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I have used it,I use it often,I use it often,I use it often,I have used it,I have NOT used it,Not applicable to my research,I use it often,I have NOT used it,I use it often,Not applicable to my research,Not applicable to my research,I use it often,Not applicable to my research,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_8mBM3VEp2K30BDr,Mid,Quantitative,Physical sciences,Physical Sciences,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,I have used it,I have NOT used it,I have used it,I have NOT used it,I have used it,I have used it,I have used it,I have used it,I have used it,I have used it,I have NOT used it,I have NOT used it,I have used it,Not applicable to my research,Neutral,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Neutral,Somewhat disagree,Strongly disagree,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_8NBVp7cFEpbSRPl,Junior,Quantitative,Mathematical sciences,Physical Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I have NOT used it,I have NOT used it,I use it often,I have used it,Not applicable to my research,Not applicable to my research,I have used it,I use it often,I have NOT used it,I use it often,Not applicable to my research,I have NOT used it,I have used it,Not applicable to my research,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Not applicable,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
R_2k62OXUwm2mPOkb,Senior,Quantitative,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,Not applicable to my research,I have used it,I have used it,I use it often,I have NOT used it,Not applicable to my research,I use it often,I have used it,I use it often,I have used it,I use it often,I use it often,I have used it,Strongly agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Neutral,Not applicable,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_8M3fIy1P5B8sGmV,Mid,Quantitative,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,I have used it,I have used it,I have used it,I have used it,I have used it,I use it often,I have NOT used it,I have NOT used it,I use it often,I have NOT used it,I have used it,I have used it,I have NOT used it,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Neutral,Somewhat agree,Neutral,Neutral,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
R_2JKDJaPdUonuBvG,Junior,Quantitative,Physical sciences,Physical Sciences,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,I have used it,I have NOT used it,I have used it,I have NOT used it,I have used it,I have used it,I have used it,I have NOT used it,I have NOT used it,I have used it,I have NOT used it,I have used it,I have NOT used it,I have used it,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Not applicable,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
R_8sytKmAFw4ICGcV,Mid,Quantitative,Physical sciences,Physical Sciences,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable to my research,I have NOT used it,Not applicable to my research,Not applicable to my research,I have used it,I have NOT used it,I have NOT used it,I use it often,I have NOT used it,I have used it,I have NOT used it,I have used it,I have used it,I have NOT used it,Somewhat agree,Somewhat disagree,Strongly disagree,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Not applicable,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_8rttBgTDaaTNIKl,(Missing),(Missing),(Missing),NA,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I use it often,I have NOT used it,I have NOT used it,I use it often,I use it often,I have NOT used it,I use it often,I use it often,I have NOT used it,I use it often,I use it often,I have NOT used it,I use it often,I have NOT used it,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_2Yy5r556Ngd0MUy,Mid,Both,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I have NOT used it,I use it often,Not applicable to my research,I use it often,I use it often,I have used it,I use it often,I use it often,I have used it,I use it often,I have NOT used it,I have NOT used it,I use it often,I have NOT used it,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Strongly agree,Somewhat disagree,Somewhat disagree,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
R_2eaSYVBDvXXbp6f,Junior,Both,Social sciences,Social Sciences,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,I have used it,NA,I have used it,I have used it,I have used it,I have used it,I have NOT used it,I have NOT used it,I have NOT used it,I have used it,I have NOT used it,I use it often,I use it often,I have NOT used it,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Not applicable,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
R_8x3Iw0qCbyI5q0h,Senior,Quantitative,Psychology and neuroscience,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,I have used it,Not applicable to my research,Not applicable to my research,I have NOT used it,I have used it,I have NOT used it,Not applicable to my research,I use it often,I have NOT used it,I have used it,I have NOT used it,I have NOT used it,I have NOT used it,Not applicable to my research,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Not applicable,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_8bZwG0aufDInfF4,Mid,Quantitative,Veterinary sciences,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,I use it often,I have NOT used it,I have NOT used it,I have NOT used it,I use it often,I have NOT used it,I have used it,I use it often,I have NOT used it,I use it often,I have NOT used it,I have NOT used it,I use it often,I have NOT used it,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Neutral,Not applicable,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_2n8XF8yrpamil1Q,Junior,Both,Biosciences,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,Not applicable to my research,I have used it,I use it often,I use it often,I have used it,I use it often,I use it often,I have used it,I use it often,I have used it,I have NOT used it,I use it often,I have NOT used it,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Somewhat disagree,Not applicable,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_5eeQgfSIMsAXn1f,Junior,Qualitative,Education and teaching,Social Sciences,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,I have used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have used it,I have NOT used it,I have used it,I have NOT used it,I have NOT used it,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Somewhat disagree,Neutral,Strongly disagree,Somewhat disagree,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_22tVNGoeJuWL7DP,Senior,Both,Mathematical sciences,Physical Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I have used it,Not applicable to my research,Not applicable to my research,Not applicable to my research,I have used it,Not applicable to my research,I have NOT used it,I use it often,I have NOT used it,I have used it,Not applicable to my research,I have NOT used it,I have used it,Not applicable to my research,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Neutral,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
R_8tzSq3xRWZ8IaAN,Junior,Qualitative,"Literature, language and area studies",Arts and Humanities,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,I have NOT used it,I have NOT used it,I have NOT used it,Not applicable to my research,Not applicable to my research,I have NOT used it,Not applicable to my research,I have NOT used it,I have NOT used it,I have NOT used it,Not applicable to my research,I have used it,Not applicable to my research,Not applicable to my research,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
R_88FLph78IYw29IJ,Mid,Quantitative,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,I use it often,I have used it,I use it often,I have used it,I have NOT used it,I have used it,I have used it,I have used it,I use it often,I have NOT used it,I have NOT used it,I use it often,I have NOT used it,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
R_84wp3HzUtGxWPfu,Junior,Qualitative,Physical sciences,Physical Sciences,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I have used it,I have NOT used it,I have used it,I have NOT used it,I have NOT used it,I have NOT used it,Not applicable to my research,I use it often,I have NOT used it,I use it often,I use it often,Not applicable to my research,I have used it,Not applicable to my research,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Neutral,Not applicable,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
R_8CpsVmnnOzQNhUR,Mid,Qualitative,Law,Social Sciences,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,I have NOT used it,I have NOT used it,I use it often,I have used it,I have NOT used it,Not applicable to my research,I have NOT used it,I use it often,I use it often,Not applicable to my research,I have used it,I use it often,I have NOT used it,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
R_8PideefsYv79VyG,Junior,Qualitative,Social sciences,Social Sciences,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,I have used it,I have NOT used it,I have used it,I have NOT used it,I have used it,I have NOT used it,I have NOT used it,I have NOT used it,I have used it,I have used it,I have NOT used it,I use it often,I have used it,I have NOT used it,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R_8f7NLCn6MQEWTa2,Senior,Both,Medical-allied subjects,Health & Biological Sciences,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I have NOT used it,I have NOT used it,I have used it,I have NOT used it,I have used it,I have NOT used it,I have NOT used it,I have used it,I have used it,I use it often,I have NOT used it,I have NOT used it,I use it often,I have used it,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
R_8RqoiqHIUQMs3f2,Mid,Both,Engineering and technology,Physical Sciences,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
R_8HHBhbWPlJSYqz8,Senior,Quantitative,Engineering and technology,Physical Sciences,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,I have used it,I have NOT used it,I have NOT used it,I have NOT used it,I have used it,I have NOT used it,I have NOT used it,I use it often,I have NOT used it,I have NOT used it,I have NOT used it,I use it often,I have NOT used it,Not applicable to my research,Neutral,Somewhat disagree,Neutral,Neutral,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
R_2ikRcPbe2UrGVwd,Junior,Qualitative,Education and teaching,Social Sciences,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have used it,I have NOT used it,I have NOT used it,I have NOT used it,I have used it,I have used it,I have NOT used it,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,Somewhat disagree,Not applicable,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
R_8HoItfT2mbcx9oF,Junior,Qualitative,Veterinary sciences,Health & Biological Sciences,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,I have used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,I have used it,I have NOT used it,I use it often,I have NOT used it,I have NOT used it,I have NOT used it,I have NOT used it,Neutral,Somewhat agree,Strongly disagree,Somewhat disagree,Neutral,Somewhat disagree,Somewhat agree,Strongly disagree,Not applicable,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
R_2lACVYarViod5vy,Senior,Both,Geography and environmental studies,Social Sciences,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I use it often,Not applicable to my research,I use it often,Not applicable to my research,I use it often,I have NOT used it,I use it often,I have used it,I have used it,I use it often,Not applicable to my research,I have used it,I have used it,Not applicable to my research,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Neutral,Somewhat agree,Neutral,Not applicable,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
